pLabel,p,equivclass,equivprop,sub,super
award received,http://www.wikidata.org/entity/P166,,http://schema.org/award,,
place of birth,http://www.wikidata.org/entity/P19,,http://schema.org/birthPlace,,
performer,http://www.wikidata.org/entity/P175,,http://schema.org/byArtist,,
employer,http://www.wikidata.org/entity/P108,,http://schema.org/worksFor,,
given name,http://www.wikidata.org/entity/P735,,http://schema.org/givenName,,
height,http://www.wikidata.org/entity/P2048,,http://schema.org/height,,
series ordinal,http://www.wikidata.org/entity/P1545,,http://schema.org/position,,
translator,http://www.wikidata.org/entity/P655,,http://schema.org/translator,,
URL,http://www.wikidata.org/entity/P2699,,http://schema.org/url,,
intended public,http://www.wikidata.org/entity/P2360,,http://schema.org/audience,,
author,http://www.wikidata.org/entity/P50,,http://schema.org/author,,
date of birth,http://www.wikidata.org/entity/P569,,http://schema.org/birthDate,,
characters,http://www.wikidata.org/entity/P674,,http://schema.org/character,,
child,http://www.wikidata.org/entity/P40,,http://schema.org/children,,
contributor(s) to the subject,http://www.wikidata.org/entity/P767,,http://schema.org/contributor,,
editor,http://www.wikidata.org/entity/P98,,http://schema.org/editor,,
family name,http://www.wikidata.org/entity/P734,,http://schema.org/familyName,,
has part,http://www.wikidata.org/entity/P527,,http://schema.org/hasPart,,
narrative location,http://www.wikidata.org/entity/P840,,http://schema.org/contentLocation,,
MPAA film rating,http://www.wikidata.org/entity/P1657,,http://schema.org/contentRating,,
duration,http://www.wikidata.org/entity/P2047,,http://schema.org/duration,,
coordinate location,http://www.wikidata.org/entity/P625,,http://schema.org/geo,,
International Standard Recording Code,http://www.wikidata.org/entity/P1243,,http://schema.org/isrcCode,,
license,http://www.wikidata.org/entity/P275,,http://schema.org/license,,
member of,http://www.wikidata.org/entity/P463,,http://schema.org/memberOf,,
country of citizenship,http://www.wikidata.org/entity/P27,,http://schema.org/nationality,,
manufacturer,http://www.wikidata.org/entity/P176,,http://schema.org/provider,,
recorded at,http://www.wikidata.org/entity/P483,,http://schema.org/recordedAt,,
spouse,http://www.wikidata.org/entity/P26,,http://schema.org/spouse,,
place of death,http://www.wikidata.org/entity/P20,,http://schema.org/deathPlace,,
sex or gender,http://www.wikidata.org/entity/P21,,http://schema.org/gender,,
image,http://www.wikidata.org/entity/P18,,http://schema.org/image,,
video,http://www.wikidata.org/entity/P10,,http://schema.org/video,,
audio,http://www.wikidata.org/entity/P51,,http://schema.org/audio,,
creator,http://www.wikidata.org/entity/P170,,http://schema.org/creator,,
inception,http://www.wikidata.org/entity/P571,,http://schema.org/dateCreated,,
publication date,http://www.wikidata.org/entity/P577,,http://schema.org/datePublished,,
date of death,http://www.wikidata.org/entity/P570,,http://schema.org/deathDate,,
founder,http://www.wikidata.org/entity/P112,,http://schema.org/founder,,
genre,http://www.wikidata.org/entity/P136,,http://schema.org/genre,,
illustrator,http://www.wikidata.org/entity/P110,,http://schema.org/illustrator,,
part of,http://www.wikidata.org/entity/P361,,http://schema.org/isPartOf,,
producer,http://www.wikidata.org/entity/P162,,http://schema.org/producer,,
publisher,http://www.wikidata.org/entity/P123,,http://schema.org/publisher,,
title,http://www.wikidata.org/entity/P1476,,http://schema.org/name,,
name,http://www.wikidata.org/entity/P2561,,http://schema.org/name,,
cites,http://www.wikidata.org/entity/P2860,,http://schema.org/citation,,
cast member,http://www.wikidata.org/entity/P161,,http://schema.org/actor,,
composer,http://www.wikidata.org/entity/P86,,http://schema.org/composer,,
director,http://www.wikidata.org/entity/P57,,http://schema.org/director,,
brand,http://www.wikidata.org/entity/P1716,,http://schema.org/brand,,
logo image,http://www.wikidata.org/entity/P154,,http://schema.org/logo,,
location,http://www.wikidata.org/entity/P276,,http://schema.org/location,,
country of origin,http://www.wikidata.org/entity/P495,,http://schema.org/countryOfOrigin,,
issue,http://www.wikidata.org/entity/P433,,http://schema.org/issueNumber,,
number of pages,http://www.wikidata.org/entity/P1104,,http://schema.org/numberOfPages,,
volume,http://www.wikidata.org/entity/P478,,http://schema.org/volumeNumber,,
review score,http://www.wikidata.org/entity/P444,,http://schema.org/reviewRating,,
number of episodes,http://www.wikidata.org/entity/P1113,,http://schema.org/numberOfEpisodes,,
list of episodes,http://www.wikidata.org/entity/P1811,,http://schema.org/episodes,,
participant,http://www.wikidata.org/entity/P710,,http://schema.org/agent,,
width,http://www.wikidata.org/entity/P2049,,http://schema.org/width,,
length,http://www.wikidata.org/entity/P2043,,http://schema.org/distance,,
day of week,http://www.wikidata.org/entity/P2894,,http://schema.org/dayOfWeek,,
flight number,http://www.wikidata.org/entity/P3090,,http://schema.org/flightNumber,,
IATA airport code,http://www.wikidata.org/entity/P238,,http://schema.org/iataCode,,
ICAO airport code,http://www.wikidata.org/entity/P239,,http://schema.org/icaoCode,,
said to be the same as,http://www.wikidata.org/entity/P460,,http://schema.org/sameAs,,
exact match,http://www.wikidata.org/entity/P2888,,http://schema.org/sameAs,,
ticker symbol,http://www.wikidata.org/entity/P249,,http://schema.org/tickerSymbol,,
character role,http://www.wikidata.org/entity/P453,,http://schema.org/roleName,,
start time,http://www.wikidata.org/entity/P580,,http://schema.org/startDate,,
end time,http://www.wikidata.org/entity/P582,,http://schema.org/endDate,,
has part,http://www.wikidata.org/entity/P527,,http://schema.org/addOn,,
participant,http://www.wikidata.org/entity/P710,,http://schema.org/participant,,
start time,http://www.wikidata.org/entity/P580,,http://schema.org/startTime,,
video,http://www.wikidata.org/entity/Q34508,http://schema.org/VideoObject,,,
text file,http://www.wikidata.org/entity/Q86920,http://schema.org/TextDigitalDocument,,,
computer language,http://www.wikidata.org/entity/Q629206,http://schema.org/ComputerLanguage,,,
festival,http://www.wikidata.org/entity/Q132241,http://schema.org/Festival,,,
mountain,http://www.wikidata.org/entity/Q8502,http://schema.org/Mountain,,,
lake,http://www.wikidata.org/entity/Q23397,http://schema.org/LakeBodyOfWater,,,
country,http://www.wikidata.org/entity/Q6256,http://schema.org/Country,,,
car,http://www.wikidata.org/entity/Q1144312,http://schema.org/Car,,,
band,http://www.wikidata.org/entity/Q215380,http://schema.org/MusicGroup,,,
dance troupe,http://www.wikidata.org/entity/Q2393314,http://schema.org/DanceGroup,,,
