sch_id,sch_link,reltype,useAtSch,wd_id,wd_link,wd_label,wd_stability,Endorse,Disagree,Doubt,comments,EndorsedAction,
about,LINK,equivProp,,P921,LINK,main subject,,"diegomoussallem, joraojr, gcpdev, marcelomachado, valexiev, sandroacoelho",,,,,
AccountingService,LINK,equivClass,,Q23671509,LINK,accounting services,medium,"ppkrauss, diegomoussallem, gcpdev,joraojr, marcelomachado",,,no-Wikipedia entry,,
Action,LINK,equivClass,,Q4026292,LINK,action,medium,"diegomoussallem,gcpdev, marcelomachado,joraojr",,ppkrauss,"WD use the philosophyc concept, SC is pragmatic. PS: portuguese version is wrong... Suggestion, you can edit Wikidata!",,
actor,LINK,equivProp,yes,P161,LINK,cast member,high,"ppkrauss, diegomoussallem,gcpdev,joraojr,marcelomachado",,,relates eg. movie with person,,
actor,LINK,exactMatch,no,Q33999,LINK,actor,high,"diegomoussallem, joraojr, gcpdev, marcelomachado, ",valexiev,"ppkrauss,","WD is the class-concept (artist), not property. The SC prop ""artist"" is already mapped (to WD ""cast member"")",,
AdministrativeArea,LINK,equivClass,,Q3455524,LINK,administrative region,low,"diegomoussallem, gcpdev, joraojr, marcelomachado",,"ppkrauss,","non-popular, cause ambiguities",,
AdministrativeArea,LINK,equivClass,,Q56061,LINK,administrative territorial entity,high,"ppkrauss,gcpdev,marcelomachado, diegomoussallem",,joraojr,"popular in both, same use, https://en.wikipedia.org/wiki/Administrative_division",,
agent,LINK,equivProp,,P710,LINK,participant,,,"diegomoussallem, joraojr, marcelomachado, gcpdev",,agent is wider than participant and also it comprises of inanimate objects. Participant is sub of Agent,,
Airline,LINK,equivClass,,Q46970,LINK,airline,high,"diegomoussallem, marcelomachado,joraojr,gcpdev",,,,,
Airport,LINK,equivClass,,Q1248784,LINK,airport,high,"ppkrauss,marcelomachado, diegomoussallem,gcpdev,joraojr",,,,,
AmusementPark,LINK,equivClass,,Q194195,LINK,amusement park,,"marcelomachado, gcpdev, diegomoussallem,joraojr",,,,,
AnatomicalStructure,LINK,equivClass,,Q4936952,LINK,anatomical structure,,,,marcelomachado,AnatomicalStructure is not in the schema.org core vocabulary. ALERT: not in the core.,,
AnimalShelter,LINK,equivClass,,Q1411287,LINK,animal shelter,,,,joraojr,SC: No description,,
Answer,LINK,equivClass,yes,Q1920566,LINK,answer,,joraojr,,,,USE,
Answer,LINK,exactMatch,,Q1920566,LINK,answer,,joraojr,valexiev,,no need for exactMatch if equivClass is given,DELETE,
Apartment,LINK,equivClass,,Q188507,LINK,apartment,,joraojr,,,,,
applicationSuite,LINK,exactMatch,,Q1143070,LINK,software suite,,,,"joraojr, valexiev","exactMatch is ok, but also add WD:isPartOf subProp SC:applicationSuite",,
Aquarium,LINK,equivClass,,Q2281788,LINK,public aquarium,,,,joraojr,SC: No description,,
Artery,LINK,equivClass,,Q9655,LINK,artery,,,,joraojr,is not in the schema.org core vocabulary,,
artform,LINK,exactMatch,,Q5489026,LINK,art form,low,,,"marcelomachado, gcpdev",WD: No description defined,,
